movie_id,cast_id,actor
862,14,"Tom Hanks"
862,18,"Wallace Shawn"
8844,1,"Robin Williams"
15602,10,"Kevin Pollak"
949,26,"Robert De Niro"
949,27,"Val Kilmer"
949,29,"Tom Sizemore"
949,46,"Danny Trejo"
11860,56,"Paul Giamatti"
710,2,"Sean Bean"
9087,4,"Martin Sheen"
21032,1,"Kevin Bacon"
21032,9,"Jim Cummings"
21032,24,"Frank Welker"
10858,1,"Anthony Hopkins"
10858,13,"Ed Harris"
10858,21,"James Woods"
524,4,"Robert De Niro"
524,7,"James Woods"
524,10,"Kevin Pollak"
524,29,"Richard Riehle"
4584,9,"Tom Wilkinson"
5,31,"Antonio Banderas"
5,43,"Bruce Willis"
11517,3,"Woody Harrelson"
8012,2,"Gene Hackman"
8012,4,"Danny DeVito"
1710,8,"Sigourney Weaver"
1710,20,"Dermot Mulroney"
9691,1,"Sylvester Stallone"
9691,2,"Antonio Banderas"
9691,3,"Julianne Moore"
12665,3,"Lance Henriksen"
12665,4,"Jeff Goldblum"
451,1,"Nicolas Cage"
16420,2,"Laurence Fishburne"
9263,19,"Cloris Leachman"
902,24,"Ron Perlman"
63,41,"Bruce Willis"
63,44,"Christopher Plummer"
78802,10,"Val Kilmer"
687,7,"Susan Sarandon"
9603,18,"Wallace Shawn"
34615,4,"James Earl Jones"
31174,3,"Jim Broadbent"
31174,12,"Robert Downey Jr."
11443,2,"Keith David"
35196,1,"Robert Downey Jr."
35196,3,"Sam Neill"
11861,14,"Dermot Mulroney"
11861,17,"Rip Torn"
11861,30,"Richard Jenkins"
807,18,"Morgan Freeman"
10530,21,"Frank Welker"
10530,25,"Jim Cummings"
629,22,"Kevin Pollak"
97406,7,"John C. Reilly"
124057,2,"Malcolm McDowell"
124057,5,"Michael Ironside"
9089,11,"Robert Downey Jr."
9089,13,"Charles Durning"
9089,18,"David Strathairn"
11359,4,"Richard Jenkins"
17182,2,"Ed Harris"
17182,12,"Keith David"
2054,14,"William H. Macy"
755,3,"Harvey Keitel"
755,8,"Danny Trejo"
11859,4,"Christopher McDonald"
20927,1,"Christian Slater"
36929,2,"Tom Arnold"
9623,2,"Alec Baldwin"
400,4,"Christopher Lloyd"
400,9,"Steve Buscemi"
400,12,"Christopher Walken"
188588,10,"Roddy McDowall"
10534,1,"Jeff Bridges"
2086,14,"Christopher Walken"
9095,2,"John Malkovich"
9095,4,"Michael Gambon"
9208,2,"Christian Slater"
45549,5,"Sean Bean"
11062,2,"John Cusack"
13685,15,"James Caan"
47475,7,"Dean Stockwell"
2045,9,"Ray Liotta"
2045,11,"Christopher McDonald"
9614,12,"Christopher McDonald"
688,10,"Meryl Streep"
688,11,"Clint Eastwood"
89333,38,"Christian Slater"
197,21,"Brian Cox"
103,5,"Robert De Niro"
