movie_id,company_id,company
862,3,"Pixar Animation Studios"
8844,559,"TriStar Pictures"
15602,6194,"Warner Bros."
31357,306,"Twentieth Century Fox Film Corporation"
11862,9195,"Touchstone Pictures"
949,508,"Regency Enterprises"
949,6194,"Warner Bros."
11860,4,"Paramount Pictures"
45325,2,"Walt Disney Pictures"
9091,33,"Universal Pictures"
710,60,"United Artists"
9087,5,"Columbia Pictures"
9087,97,"Castle Rock Entertainment"
12110,5,"Columbia Pictures"
12110,97,"Castle Rock Entertainment"
21032,33,"Universal Pictures"
21032,56,"Amblin Entertainment"
10858,915,"Hollywood Pictures"
1408,8411,"Metro-Goldwyn-Mayer (MGM)"
524,33,"Universal Pictures"
4584,441,"Columbia Pictures Corporation"
5,14,"Miramax Films"
9273,6194,"Warner Bros."
9273,10210,"Morgan Creek Productions"
11517,5,"Columbia Pictures"
8012,8411,"Metro-Goldwyn-Mayer (MGM)"
1710,508,"Regency Enterprises"
1710,10104,"New Regency Pictures"
9691,1885,"Silver Pictures"
9691,5358,Canal+
9691,6194,"Warner Bros."
12665,915,"Hollywood Pictures"
451,60,"United Artists"
16420,5,"Columbia Pictures"
16420,97,"Castle Rock Entertainment"
9263,12,"New Line Cinema"
17015,288,"BBC Films"
902,591,"France 3 Cinéma"
902,850,Eurimages
902,6639,"Televisión Española (TVE)"
902,9335,"Canal+ España"
902,18367,"Centre National de la Cinématographie (CNC)"
902,47532,Canal+
9909,915,"Hollywood Pictures"
63,33,"Universal Pictures"
9598,33,"Universal Pictures"
47018,694,StudioCanal
47018,31080,"Polygram Filmed Entertainment"
687,1382,"PolyGram Filmed Entertainment"
687,10163,"Working Title Films"
33689,6194,"Warner Bros."
9603,4,"Paramount Pictures"
11443,915,"Hollywood Pictures"
35196,14,"Miramax Films"
9312,12,"New Line Cinema"
577,364,"The Rank Organisation"
577,441,"Columbia Pictures Corporation"
11861,33,"Universal Pictures"
11861,56,"Amblin Entertainment"
807,12,"New Line Cinema"
10530,2,"Walt Disney Pictures"
11448,14,"Miramax Films"
26441,2,"Walt Disney Pictures"
97406,14,"Miramax Films"
124057,7320,"Telefilm Canada"
9089,4,"Paramount Pictures"
9089,1382,"PolyGram Filmed Entertainment"
11359,4,"Paramount Pictures"
11359,441,"Columbia Pictures Corporation"
17182,4,"Paramount Pictures"
2054,915,"Hollywood Pictures"
2054,1382,"PolyGram Filmed Entertainment"
10607,14,"Miramax Films"
19760,6194,"Warner Bros."
19760,10210,"Morgan Creek Productions"
9536,8411,"Metro-Goldwyn-Mayer (MGM)"
11525,12,"New Line Cinema"
40628,14,"Miramax Films"
4482,3823,"TF1 Films Production"
4482,5358,Canal+
10634,12,"New Line Cinema"
755,7405,"Dimension Films"
11859,1885,"Silver Pictures"
11859,6194,"Warner Bros."
48750,5358,Canal+
20927,12,"New Line Cinema"
36929,6194,"Warner Bros."
36929,10210,"Morgan Creek Productions"
124626,4606,"Zweites Deutsches Fernsehen (ZDF)"
27526,14,"Miramax Films"
9623,441,"Columbia Pictures Corporation"
400,14,"Miramax Films"
10534,915,"Hollywood Pictures"
17414,306,"Twentieth Century Fox Film Corporation"
13997,4,"Paramount Pictures"
2086,4,"Paramount Pictures"
61548,14,"Miramax Films"
9095,559,"TriStar Pictures"
12158,4,"Paramount Pictures"
9283,14,"Miramax Films"
9208,306,"Twentieth Century Fox Film Corporation"
40154,97,"Castle Rock Entertainment"
406,1382,"PolyGram Filmed Entertainment"
406,5358,Canal+
45549,181,"Channel Four Films"
63076,3324,"British Broadcasting Corporation (BBC)"
63076,7025,"Westdeutscher Rundfunk (WDR)"
11062,5,"Columbia Pictures"
11062,97,"Castle Rock Entertainment"
13685,441,"Columbia Pictures Corporation"
47475,9195,"Touchstone Pictures"
2045,8411,"Metro-Goldwyn-Mayer (MGM)"
9614,33,"Universal Pictures"
688,56,"Amblin Entertainment"
688,6194,"Warner Bros."
10874,2,"Walt Disney Pictures"
103,441,"Columbia Pictures Corporation"
33542,12,"New Line Cinema"
43566,915,"Hollywood Pictures"
71754,806,"Téléfilm Canada"
43612,83,"France 2 Cinéma"
43612,591,"France 3 Cinéma"
43612,694,StudioCanal
10324,559,"TriStar Pictures"
55731,559,"TriStar Pictures"
11066,4,"Paramount Pictures"
2074,14,"Miramax Films"
27793,6194,"Warner Bros."
73067,181,"Channel Four Films"
73067,5358,Canal+
11863,4,"Paramount Pictures"
9101,306,"Twentieth Century Fox Film Corporation"
39428,181,"Channel Four Films"
9302,9195,"Touchstone Pictures"
11000,60,"United Artists"
16388,43,"Fox Searchlight Pictures"
9737,5,"Columbia Pictures"
30765,6194,"Warner Bros."
10474,12,"New Line Cinema"
22279,5996,BBC
30157,181,"Channel Four Films"
568,23,"Imagine Entertainment"
568,33,"Universal Pictures"
11780,60,"United Artists"
414,6194,"Warner Bros."
414,31080,"Polygram Filmed Entertainment"
1873,5,"Columbia Pictures"
1873,97,"Castle Rock Entertainment"
5894,14,"Miramax Films"
1775,1382,"PolyGram Filmed Entertainment"
8839,33,"Universal Pictures"
8839,56,"Amblin Entertainment"
20649,33,"Universal Pictures"
10329,4,"Paramount Pictures"
8963,915,"Hollywood Pictures"
8068,5,"Columbia Pictures"
8512,559,"TriStar Pictures"
1572,306,"Twentieth Century Fox Film Corporation"
259209,9195,"Touchstone Pictures"
6520,441,"Columbia Pictures Corporation"
9073,508,"Regency Enterprises"
9073,5358,Canal+
9073,6194,"Warner Bros."
10428,60,"United Artists"
9886,559,"TriStar Pictures"
9482,915,"Hollywood Pictures"
19326,559,"TriStar Pictures"
9344,14,"Miramax Films"
8973,60,"United Artists"
15730,7320,"Telefilm Canada"
47608,9195,"Touchstone Pictures"
2293,33,"Universal Pictures"
9070,306,"Twentieth Century Fox Film Corporation"
68274,1382,"PolyGram Filmed Entertainment"
68274,10163,"Working Title Films"
1642,5,"Columbia Pictures"
11472,306,"Twentieth Century Fox Film Corporation"
11980,7405,"Dimension Films"
10533,915,"Hollywood Pictures"
10802,60,"United Artists"
10149,14,"Miramax Films"
18402,6194,"Warner Bros."
9348,8411,"Metro-Goldwyn-Mayer (MGM)"
139408,6194,"Warner Bros."
79593,915,"Hollywood Pictures"
79593,1382,"PolyGram Filmed Entertainment"
9090,33,"Universal Pictures"
9090,56,"Amblin Entertainment"
3512,508,"Regency Enterprises"
3512,6194,"Warner Bros."
52856,915,"Hollywood Pictures"
9560,306,"Twentieth Century Fox Film Corporation"
9804,33,"Universal Pictures"
65796,60,"United Artists"
49805,4,"Paramount Pictures"
26258,306,"Twentieth Century Fox Film Corporation"
50797,5358,Canal+
76,6194,"Warner Bros."
9382,508,"Regency Enterprises"
9382,5358,Canal+
9382,10104,"New Regency Pictures"
6715,33,"Universal Pictures"
22625,364,"The Rank Organisation"
2292,14,"Miramax Films"
1909,12,"New Line Cinema"
8984,6194,"Warner Bros."
4954,4,"Paramount Pictures"
10531,181,"Channel Four Films"
10531,3823,"TF1 Films Production"
10531,5358,Canal+
11929,97,"Castle Rock Entertainment"
11929,441,"Columbia Pictures Corporation"
8467,12,"New Line Cinema"
20156,14,"Miramax Films"
522,9195,"Touchstone Pictures"
397,306,"Twentieth Century Fox Film Corporation"
397,1382,"PolyGram Filmed Entertainment"
397,10163,"Working Title Films"
10525,5,"Columbia Pictures"
10525,97,"Castle Rock Entertainment"
27985,306,"Twentieth Century Fox Film Corporation"
15789,2,"Walt Disney Pictures"
27303,559,"TriStar Pictures"
72031,14,"Miramax Films"
1024,14,"Miramax Films"
17207,915,"Hollywood Pictures"
13701,5,"Columbia Pictures"
14819,2,"Walt Disney Pictures"
32631,33,"Universal Pictures"
11777,4,"Paramount Pictures"
87729,9195,"Touchstone Pictures"
18713,9195,"Touchstone Pictures"
6280,33,"Universal Pictures"
9061,6194,"Warner Bros."
37108,2,"Walt Disney Pictures"
6071,306,"Twentieth Century Fox Film Corporation"
11,306,"Twentieth Century Fox Film Corporation"
9587,5,"Columbia Pictures"
19101,6194,"Warner Bros."
49980,181,"Channel Four Films"
4476,559,"TriStar Pictures"
11008,33,"Universal Pictures"
47504,12,"New Line Cinema"
32325,181,"Channel Four Films"
32325,3268,"Home Box Office (HBO)"
43742,6194,"Warner Bros."
28313,4,"Paramount Pictures"
11318,181,"Channel Four Films"
3036,559,"TriStar Pictures"
40490,2,"Walt Disney Pictures"
24070,559,"TriStar Pictures"
8986,4,"Paramount Pictures"
10510,306,"Twentieth Century Fox Film Corporation"
17402,915,"Hollywood Pictures"
8438,6194,"Warner Bros."
11593,4,"Paramount Pictures"
1945,306,"Twentieth Century Fox Film Corporation"
1945,1382,"PolyGram Filmed Entertainment"
241,508,"Regency Enterprises"
241,6194,"Warner Bros."
241,10104,"New Regency Pictures"
9058,559,"TriStar Pictures"
18220,12,"New Line Cinema"
6950,6194,"Warner Bros."
101,5,"Columbia Pictures"
101,9,Gaumont
2307,915,"Hollywood Pictures"
680,14,"Miramax Films"
41478,31080,"Polygram Filmed Entertainment"
40156,288,"BBC Films"
40156,1382,"PolyGram Filmed Entertainment"
11450,915,"Hollywood Pictures"
10452,850,Eurimages
10452,5358,Canal+
10452,18367,"Centre National de la Cinématographie (CNC)"
12106,559,"TriStar Pictures"
161495,915,"Hollywood Pictures"
3586,14,"Miramax Films"
110,591,"France 3 Cinéma"
108,591,"France 3 Cinéma"
109,591,"France 3 Cinéma"
109,850,Eurimages
28033,4,"Paramount Pictures"
2636,6194,"Warner Bros."
2164,694,StudioCanal
11395,2,"Walt Disney Pictures"
11395,915,"Hollywood Pictures"
278,97,"Castle Rock Entertainment"
278,6194,"Warner Bros."
9905,181,"Channel Four Films"
9905,1382,"PolyGram Filmed Entertainment"
12527,14,"Miramax Films"
27993,12,"New Line Cinema"
9059,33,"Universal Pictures"
193,4,"Paramount Pictures"
12122,33,"Universal Pictures"
11381,4,"Paramount Pictures"
1587,4,"Paramount Pictures"
9271,4,"Paramount Pictures"
2064,915,"Hollywood Pictures"
19855,33,"Universal Pictures"
60855,806,"Téléfilm Canada"
48287,441,"Columbia Pictures Corporation"
3049,6194,"Warner Bros."
3049,10210,"Morgan Creek Productions"
2759,1382,"PolyGram Filmed Entertainment"
10497,441,"Columbia Pictures Corporation"
10497,5358,Canal+
11382,14,"Miramax Films"
9331,4,"Paramount Pictures"
10731,508,"Regency Enterprises"
10731,6194,"Warner Bros."
10464,12,"New Line Cinema"
34152,33,"Universal Pictures"
9495,14,"Miramax Films"
29973,508,"Regency Enterprises"
29973,6194,"Warner Bros."
888,33,"Universal Pictures"
888,56,"Amblin Entertainment"
13,4,"Paramount Pictures"
712,181,"Channel Four Films"
712,1382,"PolyGram Filmed Entertainment"
712,10163,"Working Title Films"
16295,441,"Columbia Pictures Corporation"
48992,441,"Columbia Pictures Corporation"
10879,9195,"Touchstone Pictures"
10660,559,"TriStar Pictures"
41647,181,"Channel Four Films"
41647,201,Arte
41647,4606,"Zweites Deutsches Fernsehen (ZDF)"
8587,2,"Walt Disney Pictures"
1689,14,"Miramax Films"
11596,12,"New Line Cinema"
854,12,"New Line Cinema"
9359,6194,"Warner Bros."
23333,14,"Miramax Films"
36593,4,"Paramount Pictures"
12280,23,"Imagine Entertainment"
12280,33,"Universal Pictures"
2788,33,"Universal Pictures"
10427,1382,"PolyGram Filmed Entertainment"
11011,1885,"Silver Pictures"
11011,6194,"Warner Bros."
49803,12,"New Line Cinema"
8987,33,"Universal Pictures"
1637,306,"Twentieth Century Fox Film Corporation"
15128,8411,"Metro-Goldwyn-Mayer (MGM)"
8831,33,"Universal Pictures"
36955,306,"Twentieth Century Fox Film Corporation"
10449,9195,"Touchstone Pictures"
10395,5,"Columbia Pictures"
12160,6194,"Warner Bros."
40480,9195,"Touchstone Pictures"
52038,288,"BBC Films"
29444,1382,"PolyGram Filmed Entertainment"
26352,915,"Hollywood Pictures"
11667,33,"Universal Pictures"
32502,31080,"Polygram Filmed Entertainment"
42981,2,"Walt Disney Pictures"
203119,3268,"Home Box Office (HBO)"
2654,12,"New Line Cinema"
18069,12,"New Line Cinema"
19092,12,"New Line Cinema"
2758,4,"Paramount Pictures"
2758,41,"Orion Pictures"
10436,5,"Columbia Pictures"
13595,306,"Twentieth Century Fox Film Corporation"
46094,915,"Hollywood Pictures"
46094,1382,"PolyGram Filmed Entertainment"
9409,9195,"Touchstone Pictures"
11853,306,"Twentieth Century Fox Film Corporation"
16771,97,"Castle Rock Entertainment"
46924,6194,"Warner Bros."
11041,306,"Twentieth Century Fox Film Corporation"
306,4,"Paramount Pictures"
14522,6194,"Warner Bros."
26203,12,"New Line Cinema"
178,8411,"Metro-Goldwyn-Mayer (MGM)"
19819,4,"Paramount Pictures"
4722,6194,"Warner Bros."
1607,7429,"HBO Films"
26391,9195,"Touchstone Pictures"
117553,5,"Columbia Pictures"
6075,33,"Universal Pictures"
11310,5,"Columbia Pictures"
11310,97,"Castle Rock Entertainment"
18658,8411,"Metro-Goldwyn-Mayer (MGM)"
9350,559,"TriStar Pictures"
9350,5358,Canal+
9612,4,"Paramount Pictures"
2124,915,"Hollywood Pictures"
26261,559,"TriStar Pictures"
19176,23,"Imagine Entertainment"
19176,33,"Universal Pictures"
49299,8411,"Metro-Goldwyn-Mayer (MGM)"
11566,6194,"Warner Bros."
9739,1885,"Silver Pictures"
9739,6194,"Warner Bros."
26141,8411,"Metro-Goldwyn-Mayer (MGM)"
50463,41,"Orion Pictures"
10443,6194,"Warner Bros."
16297,6194,"Warner Bros."
18551,4,"Paramount Pictures"
9024,23,"Imagine Entertainment"
37233,4,"Paramount Pictures"
1634,508,"Regency Enterprises"
1634,6194,"Warner Bros."
13815,14,"Miramax Films"
5503,6194,"Warner Bros."
35588,5,"Columbia Pictures"
2087,33,"Universal Pictures"
41579,8411,"Metro-Goldwyn-Mayer (MGM)"
4916,915,"Hollywood Pictures"
2019,33,"Universal Pictures"
31642,508,"Regency Enterprises"
31642,6194,"Warner Bros."
9255,306,"Twentieth Century Fox Film Corporation"
10612,14,"Miramax Films"
2259,850,Eurimages
11934,1382,"PolyGram Filmed Entertainment"
11934,1885,"Silver Pictures"
11934,6194,"Warner Bros."
11934,10163,"Working Title Films"
106143,441,"Columbia Pictures Corporation"
12475,915,"Hollywood Pictures"
9386,97,"Castle Rock Entertainment"
9386,441,"Columbia Pictures Corporation"
7984,33,"Universal Pictures"
59930,9195,"Touchstone Pictures"
15765,9195,"Touchstone Pictures"
31643,4,"Paramount Pictures"
6,33,"Universal Pictures"
329,33,"Universal Pictures"
329,56,"Amblin Entertainment"
29918,4,"Paramount Pictures"
9593,441,"Columbia Pictures Corporation"
42580,9195,"Touchstone Pictures"
1413,6194,"Warner Bros."
12121,508,"Regency Enterprises"
12121,6194,"Warner Bros."
2246,5,"Columbia Pictures"
2246,12,"New Line Cinema"
2246,97,"Castle Rock Entertainment"
10502,6194,"Warner Bros."
10440,559,"TriStar Pictures"
9516,12,"New Line Cinema"
2320,1885,"Silver Pictures"
2320,6194,"Warner Bros."
2625,559,"TriStar Pictures"
31911,6194,"Warner Bros."
788,306,"Twentieth Century Fox Film Corporation"
11231,441,"Columbia Pictures Corporation"
41588,508,"Regency Enterprises"
41588,6194,"Warner Bros."
41588,10104,"New Regency Pictures"
10447,441,"Columbia Pictures Corporation"
31586,5,"Columbia Pictures"
31586,12,"New Line Cinema"
31586,97,"Castle Rock Entertainment"
9559,6194,"Warner Bros."
9800,559,"TriStar Pictures"
8291,5,"Columbia Pictures"
18133,9195,"Touchstone Pictures"
25557,915,"Hollywood Pictures"
22588,33,"Universal Pictures"
10872,9195,"Touchstone Pictures"
1245,5,"Columbia Pictures"
11858,9195,"Touchstone Pictures"
7007,306,"Twentieth Century Fox Film Corporation"
10467,5,"Columbia Pictures"
5550,41,"Orion Pictures"
8005,9,Gaumont
8005,306,"Twentieth Century Fox Film Corporation"
2088,10163,"Working Title Films"
2088,31080,"Polygram Filmed Entertainment"
14534,559,"TriStar Pictures"
424,33,"Universal Pictures"
424,56,"Amblin Entertainment"
35233,306,"Twentieth Century Fox Film Corporation"
103413,508,"Regency Enterprises"
103413,6194,"Warner Bros."
11236,6194,"Warner Bros."
8850,33,"Universal Pictures"
43535,9195,"Touchstone Pictures"
12519,14,"Miramax Films"
23210,8411,"Metro-Goldwyn-Mayer (MGM)"
23210,10104,"New Regency Pictures"
858,559,"TriStar Pictures"
867,4,"Paramount Pictures"
78,5798,"Shaw Brothers"
78,6194,"Warner Bros."
13203,915,"Hollywood Pictures"
10442,559,"TriStar Pictures"
9607,915,"Hollywood Pictures"
17585,12,"New Line Cinema"
9057,915,"Hollywood Pictures"
9057,1382,"PolyGram Filmed Entertainment"
10635,559,"TriStar Pictures"
9479,9195,"Touchstone Pictures"
10057,2,"Walt Disney Pictures"
11969,915,"Hollywood Pictures"
41590,6194,"Warner Bros."
41590,10210,"Morgan Creek Productions"
319,6194,"Warner Bros."
319,10210,"Morgan Creek Productions"
15139,306,"Twentieth Century Fox Film Corporation"
161158,806,"Téléfilm Canada"
51980,83,"France 2 Cinéma"
24405,6194,"Warner Bros."
24405,10210,"Morgan Creek Productions"
31504,5,"Columbia Pictures"
31504,97,"Castle Rock Entertainment"
41653,235,"Nordisk Film"
41653,6181,"Svensk Filmindustri (SF)"
10897,33,"Universal Pictures"
10897,56,"Amblin Entertainment"
21352,4,"Paramount Pictures"
37345,559,"TriStar Pictures"
32562,181,"Channel Four Films"
32562,201,Arte
32562,3268,"Home Box Office (HBO)"
32562,4606,"Zweites Deutsches Fernsehen (ZDF)"
9066,4,"Paramount Pictures"
771,306,"Twentieth Century Fox Film Corporation"
251,4,"Paramount Pictures"
812,2,"Walt Disney Pictures"
280,5358,Canal+
268,1382,"PolyGram Filmed Entertainment"
268,6194,"Warner Bros."
274,41,"Orion Pictures"
408,3166,"Walt Disney Productions"
10020,2,"Walt Disney Pictures"
10895,6,"RKO Radio Pictures"
10895,3166,"Walt Disney Productions"
114,9195,"Touchstone Pictures"
30528,306,"Twentieth Century Fox Film Corporation"
7300,306,"Twentieth Century Fox Film Corporation"
7300,711,"Fox 2000 Pictures"
10824,1382,"PolyGram Filmed Entertainment"
261246,5996,BBC
275,1382,"PolyGram Filmed Entertainment"
275,10163,"Working Title Films"
25059,2,"Walt Disney Pictures"
8766,14,"Miramax Films"
8766,7405,"Dimension Films"
23570,14,"Miramax Films"
47333,14,"Miramax Films"
10112,3166,"Walt Disney Productions"
46029,1382,"PolyGram Filmed Entertainment"
46029,9195,"Touchstone Pictures"
32308,33,"Universal Pictures"
28121,12,"New Line Cinema"
12520,441,"Columbia Pictures Corporation"
1592,4,"Paramount Pictures"
19042,8411,"Metro-Goldwyn-Mayer (MGM)"
38884,850,Eurimages
38884,3324,"British Broadcasting Corporation (BBC)"
38884,6639,"Televisión Española (TVE)"
38884,9335,"Canal+ España"
38884,10163,"Working Title Films"
36259,12,"New Line Cinema"
41852,60,"United Artists"
9099,23,"Imagine Entertainment"
9099,33,"Universal Pictures"
2021,5358,Canal+
2021,31080,"Polygram Filmed Entertainment"
61752,43,"Fox Searchlight Pictures"
10988,6194,"Warner Bros."
10988,10210,"Morgan Creek Productions"
11479,3823,"TF1 Films Production"
11479,5358,Canal+
11479,9195,"Touchstone Pictures"
287305,7025,"Westdeutscher Rundfunk (WDR)"
10684,306,"Twentieth Century Fox Film Corporation"
954,4,"Paramount Pictures"
18989,8411,"Metro-Goldwyn-Mayer (MGM)"
8840,33,"Universal Pictures"
11107,915,"Hollywood Pictures"
11107,1382,"PolyGram Filmed Entertainment"
10539,2,"Walt Disney Pictures"
10543,23,"Imagine Entertainment"
10543,33,"Universal Pictures"
18414,4,"Paramount Pictures"
18414,126,"Lakeshore Entertainment"
47502,12,"New Line Cinema"
47502,14,"Miramax Films"
3065,33,"Universal Pictures"
8069,4,"Paramount Pictures"
221917,97,"Castle Rock Entertainment"
221917,441,"Columbia Pictures Corporation"
27281,2,"Walt Disney Pictures"
105045,5358,Canal+
105045,7025,"Westdeutscher Rundfunk (WDR)"
40001,559,"TriStar Pictures"
38867,12,"New Line Cinema"
25969,12,"New Line Cinema"
43634,1382,"PolyGram Filmed Entertainment"
43634,9195,"Touchstone Pictures"
9103,33,"Universal Pictures"
29649,559,"TriStar Pictures"
10990,8411,"Metro-Goldwyn-Mayer (MGM)"
8866,306,"Twentieth Century Fox Film Corporation"
12233,2,"Walt Disney Pictures"
23449,915,"Hollywood Pictures"
36355,33,"Universal Pictures"
37667,3324,"British Broadcasting Corporation (BBC)"
90148,14,"Miramax Films"
11876,83,"France 2 Cinéma"
11876,5358,Canal+
11687,16804,"France 3 Cinema"
9304,441,"Columbia Pictures Corporation"
9100,5,"Columbia Pictures"
20759,306,"Twentieth Century Fox Film Corporation"
46063,9195,"Touchstone Pictures"
36915,12,"New Line Cinema"
36915,364,"The Rank Organisation"
9802,915,"Hollywood Pictures"
25697,364,"The Rank Organisation"
21588,5358,Canal+
664,33,"Universal Pictures"
664,56,"Amblin Entertainment"
664,6194,"Warner Bros."
11867,1382,"PolyGram Filmed Entertainment"
47119,83,"France 2 Cinéma"
47119,5358,Canal+
47119,18367,"Centre National de la Cinématographie (CNC)"
10280,4,"Paramount Pictures"
10535,915,"Hollywood Pictures"
16299,12,"New Line Cinema"
245268,8411,"Metro-Goldwyn-Mayer (MGM)"
935,441,"Columbia Pictures Corporation"
41007,14,"Miramax Films"
35645,33,"Universal Pictures"
110465,8411,"Metro-Goldwyn-Mayer (MGM)"
255546,181,"Channel Four Films"
9826,4,"Paramount Pictures"
9826,79,"Village Roadshow Pictures"
9879,5,"Columbia Pictures"
9879,97,"Castle Rock Entertainment"
7095,915,"Hollywood Pictures"
124633,5358,Canal+
627,14,"Miramax Films"
627,181,"Channel Four Films"
627,9349,Film4
32872,4,"Paramount Pictures"
32872,126,"Lakeshore Entertainment"
602,306,"Twentieth Century Fox Film Corporation"
14553,43,"Fox Searchlight Pictures"
14553,15671,"France 2 Cinéma"
9566,559,"TriStar Pictures"
10545,2,"Walt Disney Pictures"
9894,441,"Columbia Pictures Corporation"
