movie_id,director
524,"Martin Scorsese"
11448,"Woody Allen"
688,"Clint Eastwood"
103,"Martin Scorsese"
20649,"Spike Lee"
17961,"Claude Chabrol"
1945,"Michael Apted"
63105,"Albert Pyun"
3586,"Robert Altman"
11382,"Woody Allen"
34152,"Spike Lee"
10436,"Martin Scorsese"
26203,"Michael Apted"
4916,"Sidney Lumet"
329,"Steven Spielberg"
10440,"Woody Allen"
9559,"Clint Eastwood"
424,"Steven Spielberg"
695,"Robert Altman"
88893,"Werner Herzog"
61752,"Spike Lee"
8072,"Jean-Luc Godard"
185191,"Claude Chabrol"
22479,"Robert Altman"
9306,"John Frankenheimer"
981,"George Cukor"
2769,"Vincente Minnelli"
164,"Blake Edwards"
426,"Alfred Hitchcock"
567,"Alfred Hitchcock"
3078,"Frank Capra"
13528,"George Cukor"
213,"Alfred Hitchcock"
289,"Michael Curtiz"
963,"John Huston"
11113,"George Cukor"
909,"Vincente Minnelli"
22490,"George Cukor"
223,"Alfred Hitchcock"
25670,"Alfred Hitchcock"
303,"Alfred Hitchcock"
4174,"Alfred Hitchcock"
381,"Alfred Hitchcock"
20758,"Vincente Minnelli"
29376,"Vincente Minnelli"
17281,"Vincente Minnelli"
64382,"Vincente Minnelli"
10907,"Michael Curtiz"
3598,"Frank Capra"
3529,"W.S. Van Dyke"
3085,"Howard Hawks"
1585,"Frank Capra"
3083,"Frank Capra"
900,"Howard Hawks"
50001,"William A. Wellman"
40206,"Henry Koster"
260,"Alfred Hitchcock"
22613,"Howard Hawks"
488,"John Huston"
22733,"John Huston"
32574,"Frank Capra"
11306,"Michael Apted"
173,"Richard Fleischer"
15121,"Robert Wise"
49471,"Spike Lee"
9716,"Woody Allen"
28120,"Edward Dmytryk"
1834,"Edward Dmytryk"
11561,"Woody Allen"
11302,"Woody Allen"
12614,"Blake Edwards"
11575,"Blake Edwards"
521,"Alfred Hitchcock"
601,"Steven Spielberg"
11843,"Blake Edwards"
104931,"Jean-Luc Godard"
31556,"Anthony Mann"
26167,"Anthony Mann"
26174,"Anthony Mann"
8074,"Jean-Luc Godard"
85,"Steven Spielberg"
389,"Sidney Lumet"
144,"Wim Wenders"
769,"Martin Scorsese"
539,"Alfred Hitchcock"
3109,"John Ford"
1578,"Martin Scorsese"
703,"Woody Allen"
490,"Ingmar Bergman"
696,"Woody Allen"
828,"Robert Wise"
3090,"John Huston"
832,"Fritz Lang"
33,"Clint Eastwood"
982,"John Frankenheimer"
212,"Frank Capra"
914,"Charlie Chaplin"
910,"Howard Hawks"
89,"Steven Spielberg"
983,"John Huston"
655,"Wim Wenders"
10341,"Wim Wenders"
27214,"Richard Fleischer"
49126,"Robert Wise"
571,"Alfred Hitchcock"
30346,"Robert Wise"
1598,"Martin Scorsese"
11349,"J. Lee Thompson"
152,"Robert Wise"
55687,"Albert Pyun"
578,"Steven Spielberg"
46027,"Sidney Lumet"
1802,"Claude Chabrol"
66,"Clint Eastwood"
330,"Steven Spielberg"
266,"Jean-Luc Godard"
111367,"Jean-Luc Godard"
61337,"Sidney Lumet"
11831,"Steven Spielberg"
2639,"Woody Allen"
8197,"Clint Eastwood"
9746,"Martin Scorsese"
9469,"Spike Lee"
12488,"Robert Altman"
28966,"William A. Wellman"
34106,"Frank Capra"
43266,"John Ford"
1725,"Robert Wise"
11485,"Woody Allen"
12101,"Richard Fleischer"
19,"Fritz Lang"
11051,"Martin Scorsese"
857,"Steven Spielberg"
10849,"Woody Allen"
5961,"Ingmar Bergman"
11335,"Robert Altman"
87,"Steven Spielberg"
12761,"Ingmar Bergman"
16081,"Richard Fleischer"
1580,"Alfred Hitchcock"
5854,"Alfred Hitchcock"
573,"Alfred Hitchcock"
2370,"Alfred Hitchcock"
5780,"Alfred Hitchcock"
506,"Alfred Hitchcock"
22527,"Alfred Hitchcock"
574,"Alfred Hitchcock"
11219,"Alfred Hitchcock"
30159,"Alfred Hitchcock"
845,"Alfred Hitchcock"
1978,"Alfred Hitchcock"
4175,"Alfred Hitchcock"
31667,"Alfred Hitchcock"
13321,"Alfred Hitchcock"
21734,"Alfred Hitchcock"
31997,"Alfred Hitchcock"
24197,"Alfred Hitchcock"
11462,"Alfred Hitchcock"
31995,"Alfred Hitchcock"
940,"Alfred Hitchcock"
2762,"Alfred Hitchcock"
12684,"Alfred Hitchcock"
2761,"Alfred Hitchcock"
8208,"Alfred Hitchcock"
52907,"Alfred Hitchcock"
15007,"Alfred Hitchcock"
36049,"Alfred Hitchcock"
52748,"Alfred Hitchcock"
75793,"Alfred Hitchcock"
47695,"Alfred Hitchcock"
31930,"Alfred Hitchcock"
20213,"Alfred Hitchcock"
543,"Alfred Hitchcock"
36054,"Alfred Hitchcock"
52782,"Alfred Hitchcock"
36055,"Alfred Hitchcock"
36056,"Alfred Hitchcock"
2760,"Alfred Hitchcock"
64398,"Alfred Hitchcock"
8195,"John Frankenheimer"
11071,"Gordon Douglas"
10403,"Robert Altman"
11337,"Woody Allen"
3121,"Robert Altman"
9466,"Woody Allen"
9626,"Richard Fleischer"
8879,"Clint Eastwood"
11873,"Martin Scorsese"
18588,"John Frankenheimer"
10015,"Clint Eastwood"
12715,"J. Lee Thompson"
45712,"Sidney Lumet"
1847,"Robert Altman"
1705,"J. Lee Thompson"
1688,"J. Lee Thompson"
11772,"Robert Wise"
10354,"Clint Eastwood"
9465,"Robert Altman"
3309,"Michael Curtiz"
27625,"Roger Corman"
18784,"Robert Wise"
11779,"Wim Wenders"
10279,"Spike Lee"
873,"Steven Spielberg"
24452,"Roger Corman"
31924,"Sidney Lumet"
30890,"Woody Allen"
29056,"Roger Corman"
28501,"Roger Corman"
29030,"Roger Corman"
25319,"Roger Corman"
29074,"Roger Corman"
91893,"Fritz Lang"
43832,"Howard Hawks"
42114,"Joseph Sargent"
60285,"Edward Dmytryk"
11901,"Clint Eastwood"
19997,"Henry Hathaway"
73575,"William Beaudine"
42196,"Mervyn LeRoy"
9343,"Werner Herzog"
11562,"Woody Allen"
8649,"Martin Scorsese"
8672,"Werner Herzog"
51371,"Buster Keaton"
961,"Buster Keaton"
37853,"John Ford"
37853,"Mervyn LeRoy"
11165,"Richard Fleischer"
24226,"Sidney Lumet"
77915,"Vincente Minnelli"
20565,"Michael Apted"
36643,"Michael Apted"
11787,"Henry Koster"
29005,"Robert Altman"
596,"John Ford"
52470,"Henry Koster"
1718,"Michael Curtiz"
78256,"Edward Dmytryk"
9684,"Woody Allen"
33015,"Buster Keaton"
5652,"Robert Altman"
32628,"Edward F. Cline"
32628,"Buster Keaton"
11900,"Werner Herzog"
22692,"William A. Wellman"
32600,"Buster Keaton"
1883,"Spike Lee"
28978,"Charlie Chaplin"
901,"Charlie Chaplin"
36208,"Charlie Chaplin"
10098,"Charlie Chaplin"
18264,"Anthony Mann"
2155,"John Frankenheimer"
11016,"John Huston"
24481,"George Cukor"
968,"Sidney Lumet"
16958,"John Huston"
3114,"John Ford"
26928,"Joseph Sargent"
22178,"Fritz Lang"
43463,"Anthony Mann"
8333,"Joseph Sargent"
918,"Blake Edwards"
23928,"Raoul Walsh"
27995,"Spike Lee"
36739,"Spike Lee"
925,"Spike Lee"
41823,"Spike Lee"
1713,"Spike Lee"
26263,"J. Lee Thompson"
3082,"Charlie Chaplin"
52961,"Blake Edwards"
840,"Steven Spielberg"
6644,"Howard Hawks"
879,"Steven Spielberg"
17529,"Henry Hathaway"
10774,"Sidney Lumet"
10747,"Clint Eastwood"
46625,"Wim Wenders"
28971,"Charlie Chaplin"
18228,"Norman Taurog"
18642,"Norman Taurog"
39391,"Mervyn LeRoy"
18644,"Michael Curtiz"
10569,"Woody Allen"
962,"Charlie Chaplin"
30588,"Charlie Chaplin"
23518,"John Frankenheimer"
28973,"Charlie Chaplin"
28974,"Charlie Chaplin"
40639,"Raoul Walsh"
24920,"Lucio Fulci"
10911,"J. Lee Thompson"
46614,"William A. Wellman"
13368,"Michael Curtiz"
2075,"John Huston"
32047,"Sidney Lumet"
9040,"Sidney Lumet"
5121,"Steven Spielberg"
90980,"John Huston"
90980,"King Vidor"
20540,"Sidney Lumet"
32275,"King Vidor"
18118,"J. Lee Thompson"
11624,"Woody Allen"
15867,"Woody Allen"
11686,"Woody Allen"
5551,"Clint Eastwood"
21866,"Clint Eastwood"
23618,"Spike Lee"
10434,"Wim Wenders"
2161,"Richard Fleischer"
911,"Edward F. Cline"
24664,"Spike Lee"
10763,"Robert Altman"
19204,"Lucio Fulci"
15739,"John Huston"
31563,"Michael Apted"
39507,"John Huston"
