movie_id,language,abbrevation
862,English,en
8844,English,en
8844,Français,fr
15602,English,en
31357,English,en
11862,English,en
949,English,en
949,Español,es
11860,Français,fr
11860,English,en
45325,English,en
45325,Deutsch,de
9091,English,en
710,English,en
710,Pусский,ru
710,Español,es
9087,English,en
12110,English,en
12110,Deutsch,de
21032,English,en
10858,English,en
1408,English,en
1408,Latin,la
524,English,en
4584,English,en
5,English,en
9273,English,en
11517,English,en
8012,English,en
1710,English,en
1710,Deutsch,de
9691,English,en
9691,Español,es
9691,Nederlands,nl
12665,English,en
451,English,en
16420,English,en
9263,English,en
17015,English,en
902,广州话 / 廣州話,cn
902,Français,fr
37557,普通话,zh
9909,English,en
63,English,en
63,Français,fr
78802,English,en
9598,English,en
47018,English,en
687,English,en
139405,Pусский,ru
139405,English,en
33689,English,en
9603,Español,es
9603,English,en
34615,English,en
31174,English,en
11443,English,en
35196,English,en
35196,Español,es
9312,English,en
577,English,en
11861,English,en
807,English,en
10530,English,en
8391,English,en
629,Español,es
629,English,en
629,Français,fr
629,Magyar,hu
11448,English,en
49133,shqip,sq
49133,Italiano,it
26441,English,en
26441,Deutsch,de
97406,English,en
124057,English,en
9089,English,en
9089,Español,es
11010,Italiano,it
11010,Español,es
99040,English,en
99040,Français,fr
11359,English,en
17182,English,en
17182,Français,fr
17182,한국어/조선말,ko
17182,Español,es
2054,English,en
10607,English,en
10607,Español,es
19760,English,en
9536,English,en
9536,Pусский,ru
11525,English,en
11525,Magyar,hu
40628,English,en
4482,Français,fr
4482,Español,es
10634,English,en
755,English,en
755,Español,es
11859,English,en
11859,Español,es
28387,English,en
48750,Français,fr
20927,English,en
36929,English,en
9102,English,en
124626,Deutsch,de
124626,English,en
27526,English,en
9623,English,en
46785,فارسی,fa
400,English,en
880,Nederlands,nl
146599,English,en
8447,English,en
10534,Dansk,da
10534,English,en
10534,Français,fr
10534,Deutsch,de
17414,English,en
17414,Français,fr
17414,Pусский,ru
13997,English,en
2086,English,en
61548,English,en
9095,English,en
12158,English,en
9283,English,en
9208,English,en
40154,English,en
406,Français,fr
45549,English,en
63076,English,en
11062,English,en
13685,Español,es
13685,English,en
47475,English,en
2045,English,en
9614,English,en
688,English,en
11907,Deutsch,de
10874,English,en
89333,English,en
197,English,en
197,Français,fr
197,Latin,la
197,,gd
103,English,en
103,Español,es
33542,广州话 / 廣州話,cn
33542,English,en
43566,English,en
43566,Français,fr
43566,Deutsch,de
71754,English,en
43612,Français,fr
51352,English,en
16934,English,en
10324,English,en
78406,English,en
55731,English,en
32119,English,en
11066,Français,fr
11066,English,en
11104,广州话 / 廣州話,cn
11104,English,en
11104,日本語,ja
11104,普通话,zh
37975,Italiano,it
2074,English,en
27793,English,en
44284,العربية,ar
44284,Français,fr
110972,English,en
32622,English,en
73067,English,en
11863,English,en
55475,Español,es
124636,English,en
9101,English,en
123360,English,en
5757,English,en
39428,English,en
9302,Français,fr
11000,English,en
11000,Français,fr
249882,English,en
249882,Hrvatski,hr
249882,Bosanski,bs
16388,English,en
9737,English,en
30765,Deutsch,de
10474,English,en
22279,English,en
30157,English,en
568,English,en
11780,English,en
34996,English,en
414,English,en
649,Français,fr
649,,mn
649,Español,es
1873,English,en
5894,English,en
1775,English,en
8839,English,en
20649,English,en
10329,English,en
10329,Français,fr
8963,English,en
26564,English,en
8068,English,en
8512,English,en
1572,English,en
1572,Deutsch,de
1572,Română,ro
13552,English,en
259209,English,en
6520,English,en
6520,Français,fr
9073,English,en
9073,Bahasa indonesia,id
9073,Bahasa melayu,ms
10428,English,en
10428,Italiano,it
10428,日本語,ja
10428,Pусский,ru
17447,English,en
17447,Français,fr
9886,English,en
9886,日本語,ja
9482,English,en
19326,English,en
9344,English,en
9071,English,en
8973,English,en
15730,English,en
47608,English,en
2293,English,en
9070,English,en
68274,English,en
48787,Pусский,ru
48787,English,en
34574,Deutsch,de
34574,English,en
1642,English,en
1642,Español,es
11472,English,en
11472,Pусский,ru
36196,English,en
11980,English,en
58372,English,en
32646,English,en
10533,English,en
10802,English,en
10149,English,en
18402,English,en
9348,English,en
139408,Magyar,hu
139408,English,en
281,English,en
5967,Français,fr
79593,English,en
47939,English,en
36834,English,en
9090,English,en
9090,Español,es
3512,English,en
52856,English,en
77350,English,en
9560,English,en
9804,English,en
9804,Deutsch,de
9804,Español,es
31611,English,en
65796,广州话 / 廣州話,cn
65796,English,en
49805,English,en
26258,English,en
26258,Deutsch,de
50797,Pусский,ru
19155,shqip,sq
19155,English,en
19155,,mk
76,English,en
76,Deutsch,de
76,Français,fr
11017,Français,fr
